#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,sigma_per,K1,K2
"     C/2002 W13 (SOHO)",52606.34,0.0050,1.0,143.49,87.37,9.07,20021128.3400000,SAO_2008,,,,,,,,,,,,
"     C/2002 W14 (SOHO)",52607.10,0.0050,1.0,143.16,87.12,9.30,20021129.1000000,SAO_2008,,,,,,,,,,,,
"     C/2002 W15 (SOHO)",52607.54,0.0070,1.0,145.16,88.01,9.26,20021129.5400000,SAO_2008,,,,,,,,,,,,
"     C/2002 W16 (SOHO)",52607.57,0.0085,1.0,136.41,73.78,357.85,20021129.5700000,SAO_2008,,,,,,,,,,,,
"     C/2002 W17 (SOHO)",52607.73,0.0056,1.0,138.52,99.11,26.89,20021129.7300000,SAO_2008,,,,,,,,,,,,
"     C/2002 X1 (LINEAR)",52750,2.486699236177971,.9981875808682357,164.0894275972743,207.32512786,281.8871344330137,20030712.8885165,"JPL 46",,12.4,,,,,,50822.3961177961,1.51486,29499.,4.5,
"     C/2002 X3 (SOHO)",52612.57,0.0052,1.0,141.67,87.85,13.32,20021204.5700000,SAO_2008,,,,,,,,,,,,
"     C/2002 X4 (SOHO)",52612.67,0.0052,1.0,141.31,91.88,17.23,20021204.6700000,SAO_2008,,,,,,,,,,,,
"     C/2002 X5 (Kudo-Fujikawa)",52659,.1899344361763081,.9998408993971803,94.15227885413908,187.5844737725108,119.065023882042,20030129.0022986,"JPL 43",,10.6,14.9,,,,,41248.2979153853,.741465,1215900.,11.5,5.
"     C/2002 X6 (SOHO)",52610.44,0.0346,1.0,72.55,57.43,74.75,20021202.4400000,SAO_2008,,,,,,,,,,,,
"     C/2002 X7 (SOHO)",52609.72,0.0052,1.0,137.42,97.20,24.10,20021201.7200000,SAO_2008,,,,,,,,,,,,
"     C/2002 X8 (SOHO)",52613.59,0.0049,1.0,142.08,39.67,314.04,20021205.5900000,SAO_2008,,,,,,,,,,,,
"     C/2002 X9 (SOHO)",52613.63,0.0082,1.0,139.82,54.29,331.62,20021205.6300000,SAO_2008,,,,,,,,,,,,
"     C/2002 X10 (SOHO)",52613.94,0.0050,1.0,143.16,84.26,7.94,20021205.9400000,SAO_2008,,,,,,,,,,,,
